"participant","color","congruency","prop.congr","error","IT","MT","AUC"
"2025-12-11-14-06-31","Rouge","incongruent",NA,"no",19.2000000029802,1200.10000000894,13547.1894438779
"2025-12-11-14-06-31","Vert","congruent",NA,"no",28,783.5,10155.9762166401
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",10.6000000089407,983.5,10879.1372654944
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",33.0999999940395,783.40000000596,5827.04735614313
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",15.5,1183.20000000298,8147.10004856859
"2025-12-11-14-06-31","Vert","congruent",NA,"no",7.59999999403954,883.20000000298,6966.02544073411
"2025-12-11-14-06-31","Vert","incongruent",NA,"no",74,1216.90000000596,7611.26673009742
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",370.20000000298,364.699999988079,3696.99355208344
"2025-12-11-14-06-31","Vert","congruent",NA,"no",10.3999999910593,699.70000000298,3829.85421150461
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",153.29999999702,831.29999999702,6276.98244589557
"2025-12-11-14-06-31","Vert","congruent",NA,"no",133.29999999702,933.09999999404,9046.50091902525
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",36.7999999970198,1000,1813.85699290757
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",14.5999999940395,332.5,702.080438901949
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",150,850.199999988079,8268.12627958764
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",12.1000000089407,899,6268.7881532262
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",122.100000008941,1798.59999999404,17835.9810213835
"2025-12-11-14-06-31","Jaune","congruent",NA,"no",479.600000008941,470.5,1522.33820530459
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",30,833.5,1094.50566368197
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",127,907.70000000298,1709.65291494707
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",78.2000000029802,1116.79999999702,11529.5502396701
"2025-12-11-14-06-31","Rouge","incongruent",NA,"no",42.3999999910593,1533.40000000596,14702.642297212
"2025-12-11-14-06-31","Vert","incongruent",NA,"no",62.1000000089407,1312.70000000298,12634.9550900443
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",18.1000000089407,1333.5,2623.1634395557
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",228.300000011921,655.09999999404,1736.13512086376
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",168,965.100000008941,5055.7248439951
"2025-12-11-14-06-31","Vert","congruent",NA,"no",249.5,758.20000000298,4750.58852588363
"2025-12-11-14-06-31","Vert","congruent",NA,"no",15.7000000029802,680.5,6507.79179667944
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",14.7000000029802,700.09999999404,1442.35435851047
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",18.5,565.800000011921,3372.20860515158
"2025-12-11-14-06-31","Jaune","congruent",NA,"no",129.70000000298,877.59999999404,2200.72240132459
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",105.09999999404,1672.10000000894,16718.1623225635
"2025-12-11-14-06-31","Vert","congruent",NA,"no",100.5,1166,9043.08546299086
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",39.4000000059605,899.90000000596,1747.47432251005
"2025-12-11-14-06-31","Vert","congruent",NA,"no",387.20000000298,446,2333.59728832309
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",269.20000000298,847.59999999404,4777.1841284414
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",34.4000000059605,977.5,6191.82105756902
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",21,917,5245.33264680083
"2025-12-11-14-06-31","Bleu","congruent",NA,"no",167,1399.59999999404,7714.18617016222
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",11.2999999970198,650.20000000298,3305.51935515449
"2025-12-11-14-06-31","Bleu","congruent",NA,"no",151.699999988079,848.70000000298,3211.5027523911
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",49.7000000029802,1400.29999999702,10953.5112305196
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",383.79999999702,1621.20000000298,8664.38071941769
"2025-12-11-14-06-31","Bleu","incongruent",NA,"yes",50,1275.79999999702,6201.6972071712
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",96.5999999940395,688.90000000596,570.80773859984
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",8.79999999701977,866.800000011921,212.699640826634
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",7.80000001192093,1199.59999999404,11648.2764184561
"2025-12-11-14-06-31","Vert","congruent",NA,"no",99.6000000089407,1019.69999998808,9057.3087957887
"2025-12-11-14-06-31","Vert","congruent",NA,"no",200.59999999404,807,10932.5689643182
"2025-12-11-14-06-31","Rouge","congruent",NA,"no",7.5,1000.19999998808,4079.7003174806
"2025-12-11-14-06-31","Vert","congruent",NA,"no",122.600000008941,700.29999999702,3075.89954532895
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",35.7000000029802,1727.10000000894,3462.6795444114
"2025-12-11-14-06-31","Bleu","incongruent",NA,"no",77.1000000089407,1633.20000000298,3657.57559377288
"2025-12-11-14-06-31","Vert","congruent",NA,"no",43.7999999970198,766.70000000298,6118.94359674966
"2025-12-11-14-06-31","Jaune","congruent",NA,"no",65.8000000119209,833.09999999404,2658.91892782608
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",116.300000011921,683.29999999702,2133.51802820668
"2025-12-11-14-06-31","Vert","incongruent",NA,"no",98.5999999940395,1309.80000001192,15767.2254731078
"2025-12-11-14-06-31","Rouge","incongruent",NA,"no",139.70000000298,1983.29999999702,18297.8186494567
"2025-12-11-14-06-31","Jaune","incongruent",NA,"no",32,1783.5,8340.03688347653
